epoch,acc,loss,val_acc,val_loss
0,0.3701537968599808,1.709243738777322,0.42658253205128205,1.6283374016101544
1,0.5080903556552387,1.3661691263599756,0.5698116987179487,1.177447960162774
2,0.5891340916372957,1.1504799168830269,0.6009615384615384,1.1494317127343936
3,0.6407000961230375,1.0158001427007233,0.6071714743589743,1.2112317566688244
4,0.6736622877282922,0.9254216284218678,0.6864983974358975,0.9074608779106385
5,0.7051826337712271,0.8393835356433359,0.6469350961538461,1.0532327664968295
6,0.7236462672220442,0.7880550019445423,0.5992588141025641,1.440164443009939
7,0.7409083627042614,0.7425034802069231,0.7021233974358975,0.8715929431028855
8,0.7550865107337392,0.6983746800694624,0.7275641025641025,0.8114863913028668
9,0.7675024030759372,0.6656979080271698,0.6694711538461539,1.1016396081600435
10,0.7764138096763857,0.6441716925527223,0.7095352564102564,0.9272776737045019
