epoch,acc,loss,val_acc,val_loss
0,0.8242550464594681,0.5087492304213419,0.766426282051282,0.7401369857864503
1,0.8277995834668376,0.49855676676286637,0.7915665064102564,0.6024200304960593
2,0.8292614546619673,0.4857004265474303,0.7824519230769231,0.6766831647509184
3,0.8340676065363666,0.4739943714869095,0.7881610576923077,0.6571524939857997
4,0.8388937840435757,0.46314855662342524,0.7888621794871795,0.683842563476318
5,0.8409564242230054,0.4573263793333873,0.7519030448717948,0.8514463431560076
6,0.8462031400192246,0.44579366845452073,0.8267227564102564,0.5136595924313252
7,0.849927907721884,0.43644575874456343,0.8055889423076923,0.5981472298885003
8,0.8518904197372636,0.4282795712184692,0.8422475961538461,0.486338974096072
9,0.8518904197372636,0.4228127078439364,0.8168068910256411,0.569960644038824
10,0.8578380326818328,0.4138376099564486,0.8157051282051282,0.5825908646369592
11,0.8576578019865427,0.40703976064567116,0.8023838141025641,0.6478387875816761
12,0.8577779557834028,0.4045132199795878,0.8293269230769231,0.5268991558979719
13,0.862483979493752,0.3937728417985373,0.8580729166666666,0.43161654902192265
14,0.8651674142902915,0.3908265250991912,0.8051883012820513,0.6256343785386819
15,0.8663088753604614,0.3804098418682518,0.8497596153846154,0.44730619427103263
16,0.8691324895866709,0.3765718101958593,0.8531650641025641,0.4531276652064079
17,0.8681111823133612,0.37401725701780053,0.83984375,0.49404423425977045
18,0.8706143864146108,0.36838437114072053,0.8127003205128205,0.6134260868032774
19,0.87487984620314,0.3588835015983698,0.8675881410256411,0.39528671929087394
20,0.8769224607497597,0.3555311407322152,0.8435496794871795,0.48546443573939496
21,0.8756608458827299,0.35530852686610215,0.8421474358974359,0.5073332617489191
22,0.8800016005121639,0.34906400301316026,0.8456530448717948,0.48053889950880635
23,0.8790691148171905,0.3490593365517238,0.8486578525641025,0.4672662219366966
24,0.8826097404677988,0.3376938025850548,0.8743990384615384,0.38871548630488223
25,0.8821090996475489,0.3360536029345712,0.8433493589743589,0.49158675987751055
26,0.8856336110221082,0.33037694730043643,0.8685897435897436,0.4002963486008155
27,0.8871155078500481,0.3245861655395408,0.8494591346153846,0.49426455604724395
28,0.8870554309516181,0.32317237779426483,0.8536658653846154,0.47174655741606003
29,0.8867550464594681,0.32392090227179177,0.8385416666666666,0.49987101822327346
30,0.8890379685998078,0.3214647053564561,0.8475560897435898,0.4839865692341939
31,0.8896988144825376,0.31493389705785074,0.8500600961538461,0.45689149162708187
32,0.8924223005446972,0.3106276677400399,0.8586738782051282,0.4500655401020478
33,0.8909404037167574,0.3076592045921196,0.8284254807692307,0.5773284009251839
34,0.8954461710990067,0.2996342634971384,0.8802083333333334,0.37583819251412
35,0.8936238385132971,0.3028916935652771,0.8655849358974359,0.43110579897004825
36,0.8950456584428068,0.30244991495293405,0.8631810897435898,0.43544238557418186
37,0.8962467989756722,0.2964690421611338,0.8727964743589743,0.4047875019411246
